date,spy_return,spmo_return,excess_return,Mkt_RF,SMB,HML,RF,iqr_outlier,excess_lag1,excess_mean_3m,spy_vol_3m,mkt_mean_3m,hml_mean_3m,target_excess_next,target_underperform_next
2020-03-31,-0.1246,-0.0852999999999999,0.0393,-0.1337,-0.0469,-0.1383,0.0012,False,-0.0036999999999999,0.022000000000000033,0.06284403975981598,-0.0721,-0.07956666666666667,-0.0159,1
2020-04-30,0.127,0.1110999999999999,-0.0159,0.136,0.025,-0.0134,0.0,False,0.0393,0.006566666666666701,0.13409086471493872,-0.026400000000000007,-0.06330000000000001,0.0204,0
2020-05-31,0.0475999999999999,0.068,0.0204,0.0557,0.024,-0.05,0.0001,False,-0.0159,0.014600000000000002,0.12862073446117983,0.01933333333333333,-0.06723333333333334,0.0078999999999999,0
2020-06-30,0.0178,0.0256999999999999,0.0078999999999999,0.0245,0.0267,-0.0217,0.0001,False,0.0204,0.0041333333333333005,0.05644619857291845,0.07206666666666667,-0.02836666666666668,0.0177,0
2020-07-31,0.0588999999999999,0.0766,0.0177,0.0583,-0.0235,-0.0144,0.0001,False,0.0078999999999999,0.015333333333333301,0.021232600719962122,0.04616666666666667,-0.028700000000000014,0.0151,0
2020-08-31,0.0698,0.0849,0.0151,0.0762,-0.002,-0.0302,0.0001,False,0.0177,0.013566666666666635,0.027422679178616693,0.053,-0.02210000000000001,0.0207,0
2020-09-30,-0.0374,-0.0167,0.0207,-0.0364,0.0006,-0.0272,0.0001,False,0.0151,0.017833333333333333,0.058997655320642495,0.0327,-0.023933333333333345,-0.0179,1
2020-10-31,-0.0249,-0.0428,-0.0179,-0.0208,0.0434,0.0425,0.0001,False,0.0207,0.005966666666666666,0.058617659455150586,0.006333333333333334,-0.004966666666666675,-0.0319,1
2020-11-30,0.1088,0.0769,-0.0319,0.1245,0.0581,0.0209,0.0001,False,-0.0179,-0.0097,0.08104153256201418,0.022433333333333333,0.012066666666666658,-0.0069,1
2020-12-31,0.0371,0.0302,-0.0069,0.0463,0.0501,-0.0168,0.0001,False,-0.0319,-0.0189,0.06690861927534701,0.049999999999999996,0.015533333333333324,0.012,0
2021-01-31,-0.0102,0.0018,0.012,-0.0007,0.0714,0.0322,0.0,False,-0.0069,-0.008933333333333333,0.059915468230944666,0.0567,0.012099999999999991,-0.0422,1
2021-02-28,0.0278,-0.0144,-0.0422,0.0281,0.0202,0.072,0.0,False,0.012,-0.012366666666666666,0.025059196581960444,0.024566666666666667,0.02913333333333332,-0.0289,1
2021-03-31,0.0454,0.0165,-0.0289,0.0316,-0.0233,0.0735,0.0,False,-0.0422,-0.0197,0.0284168963822583,0.01966666666666667,0.059233333333333325,0.0006999999999999,0
2021-04-30,0.0529,0.0536,0.0006999999999999,0.0495,-0.0319,-0.0102,0.0,False,-0.0289,-0.0234666666666667,0.012884228084496886,0.0364,0.04509999999999998,-0.0145,1
2021-05-31,0.0066,-0.0079,-0.0145,0.003,-0.002,0.0704,0.0,False,0.0006999999999999,-0.014233333333333367,0.02485082158266278,0.028033333333333337,0.044566666666666664,0.0493,0
2021-06-30,0.0225,0.0718,0.0493,0.0274,0.017,-0.0786,0.0,False,-0.0145,0.011833333333333298,0.0235253763696426,0.026633333333333332,-0.006133333333333342,-0.0020999999999999,1
2021-07-31,0.0243999999999999,0.0223,-0.0020999999999999,0.0134,-0.0393,-0.0179,0.0,False,0.0493,0.01090000000000003,0.009774627017607245,0.0146,-0.008700000000000008,0.0162,0
2021-08-31,0.0298,0.046,0.0162,0.0294,-0.0032,-0.0023,0.0,False,-0.0020999999999999,0.021133333333333365,0.003787259343290119,0.0234,-0.03293333333333334,-0.0001999999999999,1
2021-09-30,-0.0466,-0.0467999999999999,-0.0001999999999999,-0.044,0.0066,0.0512,0.0,False,0.0162,0.004633333333333397,0.04263629127085675,-0.0003999999999999976,0.010333333333333325,0.0035,0
2021-10-31,0.0702,0.0737,0.0035,0.0663,-0.0227,-0.0053,0.0,False,-0.0001999999999999,0.00650000000000003,0.059317451057846415,0.017233333333333333,0.014533333333333323,-0.0211,1
2021-11-30,-0.008,-0.0291,-0.0211,-0.0158,-0.0131,-0.0037,0.0,False,0.0035,-0.0059333333333333035,0.059508318746205595,0.0021666666666666674,0.014066666666666656,-0.0196,1
2021-12-31,0.0463,0.0266999999999999,-0.0196,0.0323,-0.0163,0.0326,0.0001,False,-0.0211,-0.012400000000000003,0.040072725554089014,0.027600000000000003,0.007866666666666655,-0.011,1
2022-01-31,-0.0527,-0.0637,-0.011,-0.0616,-0.0593,0.1286,0.0,False,-0.0196,-0.017233333333333337,0.04957751506479529,-0.01503333333333333,0.05249999999999999,0.0091,0
2022-02-28,-0.0295,-0.0204,0.0091,-0.0228,0.0216,0.0306,0.0,False,-0.011,-0.007166666666666669,0.051776571278265786,-0.017366666666666666,0.06393333333333333,-0.0020999999999999,1
2022-03-31,0.0375999999999999,0.0355,-0.0020999999999999,0.0308,-0.0155,-0.019,0.0,False,0.0091,-0.0013333333333333034,0.0468948113689919,-0.017866666666666666,0.04673333333333332,0.0025,0
2022-04-30,-0.0877999999999999,-0.0852999999999999,0.0025,-0.0941,-0.0135,0.0618,0.0,False,-0.0020999999999999,0.0031666666666666965,0.06275144088651133,-0.0287,0.024466666666666654,0.0133,0
2022-05-31,0.0023,0.0156,0.0133,-0.0034,-0.0184,0.0844,0.0003,False,0.0025,0.004566666666666696,0.06466485392648255,-0.02223333333333333,0.04239999999999999,0.0005,0
2022-06-30,-0.0825,-0.0819999999999999,0.0005,-0.084,0.0207,-0.06,0.0006,False,0.0133,0.005433333333333329,0.05055877767509813,-0.0605,0.02873333333333333,-0.013,1
2022-07-31,0.0921,0.0791,-0.013,0.0957,0.0284,-0.0415,0.0008,False,0.0005,0.0002666666666666633,0.0873119312198129,0.0027666666666666673,-0.005700000000000011,0.0112,0
2022-08-31,-0.0408,-0.0296,0.0112,-0.0377,0.0141,0.0018,0.0019,False,-0.013,-0.0004333333333333365,0.09118338664471727,-0.008666666666666665,-0.033233333333333344,0.0225999999999999,0
2022-09-30,-0.0924,-0.0698,0.0225999999999999,-0.0934,-0.0076,0.0003,0.0019,False,0.0112,0.0069333333333332975,0.09518860225888394,-0.011799999999999996,-0.013133333333333346,0.0544999999999999,0
2022-10-31,0.0813,0.1358,0.0544999999999999,0.0785,0.0001,0.0797,0.0023,False,0.0225999999999999,0.029433333333333266,0.08920263449024364,-0.01753333333333333,0.02726666666666665,-0.0238999999999999,1
2022-11-30,0.0556,0.0317,-0.0238999999999999,0.0465,-0.0357,0.0148,0.0029,False,0.0544999999999999,0.0177333333333333,0.09375160443071541,0.010533333333333339,0.03159999999999999,0.0259999999999999,0
2022-12-31,-0.0576,-0.0316,0.0259999999999999,-0.0638,-0.0076,0.0134,0.0033,False,-0.0238999999999999,0.018866666666666632,0.07390076679800649,0.0204,0.035966666666666654,-0.0675,1
2023-01-31,0.0629,-0.0046,-0.0675,0.0661,0.0501,-0.0394,0.0035,True,0.0259999999999999,-0.021800000000000003,0.06756204555813865,0.016266666666666676,-0.0037333333333333454,-0.0204999999999999,1
2023-02-28,-0.0250999999999999,-0.0455999999999999,-0.0204999999999999,-0.0257,0.0105,-0.008,0.0034,False,-0.0675,-0.02066666666666667,0.062343804824537295,-0.007799999999999992,-0.011333333333333346,-0.0196,1
2023-03-31,0.0371,0.0175,-0.0196,0.0248,-0.0548,-0.0905,0.0036,False,-0.0204999999999999,-0.03586666666666664,0.0452373002436411,0.02173333333333334,-0.045966666666666676,0.0129999999999999,0
2023-04-30,0.016,0.0289999999999999,0.0129999999999999,0.0062,-0.0337,-0.0012,0.0035,False,-0.0196,-0.009033333333333336,0.03163136628938643,0.0017666666666666707,-0.03323333333333335,-0.0596999999999999,1
2023-05-31,0.0046,-0.0550999999999999,-0.0596999999999999,0.0034,0.016,-0.0779,0.0036,True,0.0129999999999999,-0.022099999999999998,0.01648949160324041,0.011466666666666672,-0.056533333333333345,-0.0043,1
2023-06-30,0.0648,0.0605,-0.0043,0.0646,0.0149,-0.0013,0.004,False,-0.0596999999999999,-0.017,0.031977700563569855,0.02473333333333334,-0.026800000000000015,-0.0150999999999999,1
2023-07-31,0.0327,0.0176,-0.0150999999999999,0.0321,0.0205,0.0406,0.0045,False,-0.0043,-0.026366666666666604,0.03012214025153817,0.033366666666666676,-0.01286666666666668,0.04,0
2023-08-31,-0.0163,0.0237,0.04,-0.0236,-0.0314,-0.0115,0.0045,False,-0.0150999999999999,0.006866666666666699,0.04084242075750819,0.024366666666666672,0.00926666666666665,0.035,0
2023-09-30,-0.0474,-0.0124,0.035,-0.0523,-0.0251,0.0149,0.0043,False,0.04,0.0199666666666667,0.040381967922989294,-0.014599999999999997,0.014666666666666653,0.0017999999999999,0
2023-10-31,-0.0217,-0.0199,0.0017999999999999,-0.0315,-0.0386,0.002,0.0047,False,0.035,0.025599999999999967,0.016617560992315816,-0.0358,0.001799999999999985,0.0068,0
2023-11-30,0.0913,0.0981,0.0068,0.0888,-0.001,0.0167,0.0044,False,0.0017999999999999,0.014533333333333301,0.073787058485889,0.0016666666666666728,0.011199999999999986,0.0193999999999999,0
2023-12-31,0.0457,0.0650999999999999,0.0193999999999999,0.0485,0.063,0.0489,0.0043,False,0.0068,0.009333333333333266,0.05684939167074118,0.035266666666666675,0.02253333333333332,0.0404999999999999,0
2024-01-31,0.0159,0.0564,0.0404999999999999,0.0073,-0.0507,-0.0238,0.0047,False,0.0193999999999999,0.022233333333333268,0.037974903993734294,0.048200000000000014,0.013933333333333317,0.0627,0
2024-02-29,0.0521999999999999,0.1149,0.0627,0.0507,-0.0024,-0.0343,0.0042,True,0.0404999999999999,0.0408666666666666,0.019356222083178713,0.035500000000000004,-0.0030666666666666815,0.0088999999999999,0
