date,spy_return,spmo_return,excess_return
2020-02-29,-0.07919999999999999,-0.08289999999999999,-0.003699999999999995
2020-03-31,-0.1246,-0.08529999999999999,0.039300000000000015
2020-04-30,0.127,0.11109999999999999,-0.01590000000000001
2020-05-31,0.047599999999999996,0.068,0.02040000000000001
2020-06-30,0.0178,0.025699999999999997,0.007899999999999997
2020-07-31,0.058899999999999994,0.0766,0.017700000000000007
2020-08-31,0.0698,0.0849,0.015100000000000002
2020-09-30,-0.0374,-0.0167,0.020700000000000003
2020-10-31,-0.024900000000000002,-0.042800000000000005,-0.017900000000000003
2020-11-30,0.10880000000000001,0.07690000000000001,-0.0319
2020-12-31,0.0371,0.0302,-0.0069
2021-01-31,-0.0102,0.0018,0.012
2021-02-28,0.0278,-0.0144,-0.0422
2021-03-31,0.0454,0.0165,-0.028900000000000002
2021-04-30,0.0529,0.0536,0.0006999999999999992
2021-05-31,0.0066,-0.0079,-0.0145
2021-06-30,0.0225,0.0718,0.049300000000000004
2021-07-31,0.024399999999999998,0.0223,-0.0020999999999999977
2021-08-31,0.0298,0.046,0.0162
2021-09-30,-0.0466,-0.046799999999999994,-0.00019999999999999185
2021-10-31,0.0702,0.0737,0.003500000000000003
2021-11-30,-0.008,-0.0291,-0.0211
2021-12-31,0.0463,0.026699999999999998,-0.019600000000000003
2022-01-31,-0.0527,-0.0637,-0.01100000000000001
2022-02-28,-0.029500000000000002,-0.0204,0.0091
2022-03-31,0.037599999999999995,0.0355,-0.0020999999999999977
2022-04-30,-0.08779999999999999,-0.08529999999999999,0.0025000000000000022
2022-05-31,0.0023,0.015600000000000001,0.013300000000000001
2022-06-30,-0.0825,-0.08199999999999999,0.0005000000000000143
2022-07-31,0.09210000000000002,0.0791,-0.013000000000000012
2022-08-31,-0.0408,-0.0296,0.011200000000000002
2022-09-30,-0.0924,-0.0698,0.022599999999999995
2022-10-31,0.08130000000000001,0.1358,0.05449999999999999
2022-11-30,0.0556,0.0317,-0.023899999999999998
2022-12-31,-0.0576,-0.0316,0.025999999999999995
2023-01-31,0.0629,-0.0046,-0.0675
2023-02-28,-0.025099999999999997,-0.045599999999999995,-0.020499999999999997
2023-03-31,0.0371,0.0175,-0.0196
2023-04-30,0.016,0.028999999999999998,0.012999999999999998
2023-05-31,0.0046,-0.055099999999999996,-0.059699999999999996
2023-06-30,0.06480000000000001,0.0605,-0.004300000000000012
2023-07-31,0.0327,0.0176,-0.015099999999999999
2023-08-31,-0.0163,0.023700000000000002,0.04
2023-09-30,-0.047400000000000005,-0.0124,0.035
2023-10-31,-0.0217,-0.0199,0.0017999999999999995
2023-11-30,0.0913,0.0981,0.0068000000000000005
2023-12-31,0.045700000000000005,0.06509999999999999,0.019399999999999987
2024-01-31,0.0159,0.0564,0.040499999999999994
2024-02-29,0.052199999999999996,0.1149,0.0627
2024-03-31,0.0327,0.0416,0.008899999999999998
2024-04-30,-0.0403,-0.0545,-0.014199999999999997
2024-05-31,0.0506,0.07339999999999999,0.022799999999999994
2024-06-30,0.0353,0.075,0.0397
2024-07-31,0.0121,-0.0167,-0.0288
2024-08-31,0.023399999999999997,0.0378,0.014400000000000003
2024-09-30,0.021,0.0163,-0.004700000000000003
2024-10-31,-0.0089,0.002,0.0109
2024-11-30,0.0596,0.0662,0.006599999999999995
2024-12-31,-0.0241,-0.0168,0.007300000000000001
2025-01-31,0.0268,0.0529,0.0261
2025-02-28,-0.0127,-0.0024,0.0103
2025-03-31,-0.0557,-0.0711,-0.015399999999999997
2025-04-30,-0.0087,0.022000000000000002,0.0307
2025-05-31,0.06280000000000001,0.114,0.051199999999999996
2025-06-30,0.051399999999999994,0.0697,0.018300000000000004
2025-07-31,0.023,0.0286,0.005600000000000001
2025-08-31,0.020499999999999997,0.0068000000000000005,-0.013699999999999997
2025-09-30,0.0356,0.0409,0.005299999999999999
2025-10-31,0.023799999999999998,0.0053,-0.0185
2025-11-30,0.002,-0.013000000000000001,-0.015000000000000001
2025-12-31,0.0008,-0.0043,-0.0051
